,,,
Código de la CIE-10 tres caracteres,Descripcion  de codigos a tres caracteres,Código de la CIE-10 cuatro caracteres,Descripcion  de códigos a cuatro caracteres
W83,Otras Obstrucciones Especificadas De La Respiracion,W835,"Otras obstrucciones especificadas de la respiracion, comercio y area de servicios"
W83,Otras Obstrucciones Especificadas De La Respiracion,W836,"Otras obstrucciones especificadas de la respiracion, area industrial y de la construccion"
W83,Otras Obstrucciones Especificadas De La Respiracion,W837,"Otras obstrucciones especificadas de la respiracion, granja"
W83,Otras Obstrucciones Especificadas De La Respiracion,W838,"Otras obstrucciones especificadas de la respiracion, otro lugar especificado"
W83,Otras Obstrucciones Especificadas De La Respiracion,W839,"Otras obstrucciones especificadas de la respiracion, lugar no especificado"
W84,Obstruccion No Especificada De La Respiracion,W840,"Obstruccion no especificada de la respiracion, vivienda"
W84,Obstruccion No Especificada De La Respiracion,W841,"Obstruccion no especificada de la respiracion, institucion residencial"
W84,Obstruccion No Especificada De La Respiracion,W842,"Obstruccion no especificada de la respiracion, escuelas, otras instituciones y areas administrativas publicas"
W84,Obstruccion No Especificada De La Respiracion,W843,"Obstruccion no especificada de la respiracion, areas de deporte y atletismo"
W84,Obstruccion No Especificada De La Respiracion,W844,"Obstruccion no especificada de la respiracion, calles y carreteras"
W84,Obstruccion No Especificada De La Respiracion,W845,"Obstruccion no especificada de la respiracion, comercio y area de servicios"
W84,Obstruccion No Especificada De La Respiracion,W846,"Obstruccion no especificada de la respiracion, area industrial y de la construccion"
W84,Obstruccion No Especificada De La Respiracion,W847,"Obstruccion no especificada de la respiracion, granja"
W84,Obstruccion No Especificada De La Respiracion,W848,"Obstruccion no especificada de la respiracion, otro lugar especificado"
W84,Obstruccion No Especificada De La Respiracion,W849,"Obstruccion no especificada de la respiracion, lugar no especificado"
W85,Exposicion A Lineas De Transmision Electrica,W850,"Exposicion a lineas de transmision electrica, vivienda"
W85,Exposicion A Lineas De Transmision Electrica,W851,"Exposicion a lineas de transmision electrica, institucion residencial"
W85,Exposicion A Lineas De Transmision Electrica,W852,"Exposicion a lineas de transmision electrica, escuelas, otras instituciones y areas administrativas publicas"
W85,Exposicion A Lineas De Transmision Electrica,W853,"Exposicion a lineas de transmision electrica, areas de deporte y atletismo"
W85,Exposicion A Lineas De Transmision Electrica,W854,"Exposicion a lineas de transmision electrica, calles y carreteras"
W85,Exposicion A Lineas De Transmision Electrica,W855,"Exposicion a lineas de transmision electrica, comercio y area de servicios"
W85,Exposicion A Lineas De Transmision Electrica,W856,"Exposicion a lineas de transmision electrica, area industrial y de la construccion"
W85,Exposicion A Lineas De Transmision Electrica,W857,"Exposicion a lineas de transmision electrica, granja"
W85,Exposicion A Lineas De Transmision Electrica,W858,"Exposicion a lineas de transmision electrica, otro lugar especificado"
W85,Exposicion A Lineas De Transmision Electrica,W859,"Exposicion a lineas de transmision electrica, lugar no especificado"
W86,Exposicion A Otras Corrientes Electricas Especificadas,W860,"Exposicion a otras corrientes electricas especificadas, vivienda"
W86,Exposicion A Otras Corrientes Electricas Especificadas,W861,"Exposicion a otras corrientes electricas especificadas, institucion residencial"
W86,Exposicion A Otras Corrientes Electricas Especificadas,W862,"Exposicion a otras corrientes electricas especificadas, escuelas, otras instituciones y areas administrativas publicas"
W86,Exposicion A Otras Corrientes Electricas Especificadas,W863,"Exposicion a otras corrientes electricas especificadas, areas de deporte y atletismo"
W86,Exposicion A Otras Corrientes Electricas Especificadas,W864,"Exposicion a otras corrientes electricas especificadas, calles y carreteras"
W86,Exposicion A Otras Corrientes Electricas Especificadas,W865,"Exposicion a otras corrientes electricas especificadas, comercio y area de servicios"
W86,Exposicion A Otras Corrientes Electricas Especificadas,W866,"Exposicion a otras corrientes electricas especificadas, area industrial y de la construccion"
W86,Exposicion A Otras Corrientes Electricas Especificadas,W867,"Exposicion a otras corrientes electricas especificadas, granja"
W86,Exposicion A Otras Corrientes Electricas Especificadas,W868,"Exposicion a otras corrientes electricas especificadas, otro lugar especificado"
W86,Exposicion A Otras Corrientes Electricas Especificadas,W869,"Exposicion a otras corrientes electricas especificadas, lugar no especificado"
W87,Exposicion A Corriente Electrica No Especificada,W870,"Exposicion a corriente electrica no especificada, vivienda"
W87,Exposicion A Corriente Electrica No Especificada,W871,"Exposicion a corriente electrica no especificada, institucion residencial"
W87,Exposicion A Corriente Electrica No Especificada,W872,"Exposicion a corriente electrica no especificada, escuelas, otras instituciones y areas administrativas publicas"
W87,Exposicion A Corriente Electrica No Especificada,W873,"Exposicion a corriente electrica no especificada, areas de deporte y atletismo"
W87,Exposicion A Corriente Electrica No Especificada,W874,"Exposicion a corriente electrica no especificada, calles y carreteras"
W87,Exposicion A Corriente Electrica No Especificada,W875,"Exposicion a corriente electrica no especificada, comercio y area de servicios"
W87,Exposicion A Corriente Electrica No Especificada,W876,"Exposicion a corriente electrica no especificada, area industrial y de la construccion"
W87,Exposicion A Corriente Electrica No Especificada,W877,"Exposicion a corriente electrica no especificada, granja"
W87,Exposicion A Corriente Electrica No Especificada,W878,"Exposicion a corriente electrica no especificada, otro lugar especificado"
W87,Exposicion A Corriente Electrica No Especificada,W879,"Exposicion a corriente electrica no especificada, lugar no especificado"
W88,Exposicion A Radiacion Ionizante,W880,"Exposicion a radiacion ionizante, vivienda"
W88,Exposicion A Radiacion Ionizante,W881,"Exposicion a radiacion ionizante, institucion residencial"
W88,Exposicion A Radiacion Ionizante,W882,"Exposicion a radiacion ionizante, escuelas, otras instituciones y areas administrativas publicas"
W88,Exposicion A Radiacion Ionizante,W883,"Exposicion a radiacion ionizante, areas de deporte y atletismo"
W88,Exposicion A Radiacion Ionizante,W884,"Exposicion a radiacion ionizante, calles y carreteras"
W88,Exposicion A Radiacion Ionizante,W885,"Exposicion a radiacion ionizante, comercio y area de servicios"
W88,Exposicion A Radiacion Ionizante,W886,"Exposicion a radiacion ionizante, area industrial y de la construccion"
W88,Exposicion A Radiacion Ionizante,W887,"Exposicion a radiacion ionizante, granja"
W88,Exposicion A Radiacion Ionizante,W888,"Exposicion a radiacion ionizante, otro lugar especificado"
W88,Exposicion A Radiacion Ionizante,W889,"Exposicion a radiacion ionizante, lugar no especificado"
W89,"Exposicion A Fuente De Luz Visible Y Ultravioleta, De Origen Artificial",W890,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial, vivienda"
W89,"Exposicion A Fuente De Luz Visible Y Ultravioleta, De Origen Artificial",W891,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial, institucion residencial"
W89,"Exposicion A Fuente De Luz Visible Y Ultravioleta, De Origen Artificial",W892,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial, escuelas, otras instituciones y areas administrativas publicas"
W89,"Exposicion A Fuente De Luz Visible Y Ultravioleta, De Origen Artificial",W893,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial, areas de deporte y atletismo"
W89,"Exposicion A Fuente De Luz Visible Y Ultravioleta, De Origen Artificial",W894,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial, calles y carreteras"
W89,"Exposicion A Fuente De Luz Visible Y Ultravioleta, De Origen Artificial",W895,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial, comercio y area de servicios"
W89,"Exposicion A Fuente De Luz Visible Y Ultravioleta, De Origen Artificial",W896,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial, area industrial y de la construccion"
W89,"Exposicion A Fuente De Luz Visible Y Ultravioleta, De Origen Artificial",W897,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial, granja"
W89,"Exposicion A Fuente De Luz Visible Y Ultravioleta, De Origen Artificial",W898,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial, otro lugar especificado"
W89,"Exposicion A Fuente De Luz Visible Y Ultravioleta, De Origen Artificial",W899,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial, lugar no especificado"
W90,Exposicion A Otros Tipos De Radiacion No Ionizante,W900,"Exposicion a otros tipos de radiacion no ionizante, vivienda"
W90,Exposicion A Otros Tipos De Radiacion No Ionizante,W901,"Exposicion a otros tipos de radiacion no ionizante, institucion residencial"
W90,Exposicion A Otros Tipos De Radiacion No Ionizante,W902,"Exposicion a otros tipos de radiacion no ionizante, escuelas, otras instituciones y areas administrativas publicas"
W90,Exposicion A Otros Tipos De Radiacion No Ionizante,W903,"Exposicion a otros tipos de radiacion no ionizante, areas de deporte y atletismo"
W90,Exposicion A Otros Tipos De Radiacion No Ionizante,W904,"Exposicion a otros tipos de radiacion no ionizante, calles y carreteras"
W90,Exposicion A Otros Tipos De Radiacion No Ionizante,W905,"Exposicion a otros tipos de radiacion no ionizante, comercio y area de servicios"
W90,Exposicion A Otros Tipos De Radiacion No Ionizante,W906,"Exposicion a otros tipos de radiacion no ionizante, area industrial y de la construccion"
W90,Exposicion A Otros Tipos De Radiacion No Ionizante,W907,"Exposicion a otros tipos de radiacion no ionizante, granja"
W90,Exposicion A Otros Tipos De Radiacion No Ionizante,W908,"Exposicion a otros tipos de radiacion no ionizante, otro lugar especificado"
W90,Exposicion A Otros Tipos De Radiacion No Ionizante,W909,"Exposicion a otros tipos de radiacion no ionizante, lugar no especificado"
W91,Exposicion A Radiacion De Tipo No Especificado,W910,"Exposicion a radiacion de tipo no especificado, vivienda"
W91,Exposicion A Radiacion De Tipo No Especificado,W911,"Exposicion a radiacion de tipo no especificado, institucion residencial"
W91,Exposicion A Radiacion De Tipo No Especificado,W912,"Exposicion a radiacion de tipo no especificado, escuelas, otras instituciones y areas administrativas publicas"
W91,Exposicion A Radiacion De Tipo No Especificado,W913,"Exposicion a radiacion de tipo no especificado, areas de deporte y atletismo"
W91,Exposicion A Radiacion De Tipo No Especificado,W914,"Exposicion a radiacion de tipo no especificado, calles y carreteras"
W91,Exposicion A Radiacion De Tipo No Especificado,W915,"Exposicion a radiacion de tipo no especificado, comercio y area de servicios"
W91,Exposicion A Radiacion De Tipo No Especificado,W916,"Exposicion a radiacion de tipo no especificado, area industrial y de la construccion"
W91,Exposicion A Radiacion De Tipo No Especificado,W917,"Exposicion a radiacion de tipo no especificado, granja"
W91,Exposicion A Radiacion De Tipo No Especificado,W918,"Exposicion a radiacion de tipo no especificado, otro lugar especificado"
W91,Exposicion A Radiacion De Tipo No Especificado,W919,"Exposicion a radiacion de tipo no especificado, lugar no especificado"
W92,Exposicion A Calor Excesivo De Origen Artificial,W920,"Exposicion a calor excesivo de origen artificial, vivienda"
W92,Exposicion A Calor Excesivo De Origen Artificial,W921,"Exposicion a calor excesivo de origen artificial, institucion residencial"
W92,Exposicion A Calor Excesivo De Origen Artificial,W922,"Exposicion a calor excesivo de origen artificial, escuelas, otras instituciones y areas administrativas publicas"
W92,Exposicion A Calor Excesivo De Origen Artificial,W923,"Exposicion a calor excesivo de origen artificial, areas de deporte y atletismo"
W92,Exposicion A Calor Excesivo De Origen Artificial,W924,"Exposicion a calor excesivo de origen artificial, calles y carreteras"
W92,Exposicion A Calor Excesivo De Origen Artificial,W925,"Exposicion a calor excesivo de origen artificial, comercio y area de servicios"
W92,Exposicion A Calor Excesivo De Origen Artificial,W926,"Exposicion a calor excesivo de origen artificial, area industrial y de la construccion"
W92,Exposicion A Calor Excesivo De Origen Artificial,W927,"Exposicion a calor excesivo de origen artificial, granja"
W92,Exposicion A Calor Excesivo De Origen Artificial,W928,"Exposicion a calor excesivo de origen artificial, otro lugar especificado"
W92,Exposicion A Calor Excesivo De Origen Artificial,W929,"Exposicion a calor excesivo de origen artificial, lugar no especificado"
W93,Exposicion A Frio Excesivo De Origen Artificial,W930,"Exposicion a frio excesivo de origen artificial, vivienda"
W93,Exposicion A Frio Excesivo De Origen Artificial,W931,"Exposicion a frio excesivo de origen artificial, institucion residencial"
W93,Exposicion A Frio Excesivo De Origen Artificial,W932,"Exposicion a frio excesivo de origen artificial, escuelas, otras instituciones y areas administrativas publicas"
W93,Exposicion A Frio Excesivo De Origen Artificial,W933,"Exposicion a frio excesivo de origen artificial, areas de deporte y atletismo"
W93,Exposicion A Frio Excesivo De Origen Artificial,W934,"Exposicion a frio excesivo de origen artificial, calles y carreteras"
W93,Exposicion A Frio Excesivo De Origen Artificial,W935,"Exposicion a frio excesivo de origen artificial, comercio y area de servicios"
W93,Exposicion A Frio Excesivo De Origen Artificial,W936,"Exposicion a frio excesivo de origen artificial, area industrial y de la construccion"
W93,Exposicion A Frio Excesivo De Origen Artificial,W937,"Exposicion a frio excesivo de origen artificial, granja"
W93,Exposicion A Frio Excesivo De Origen Artificial,W938,"Exposicion a frio excesivo de origen artificial, otro lugar especificado"
W93,Exposicion A Frio Excesivo De Origen Artificial,W939,"Exposicion a frio excesivo de origen artificial, lugar no especificado"
W94,Exposicion A Presion De Aire Alta Y Baja Y A Cambios En La Presion De Aire,W940,"Exposicion a presion de aire alta y baja y a cambios en la presion del aire, vivienda"
W94,Exposicion A Presion De Aire Alta Y Baja Y A Cambios En La Presion De Aire,W941,"Exposicion a presion de aire alta y baja y a cambios en la presion del aire, institucion residencial"
W94,Exposicion A Presion De Aire Alta Y Baja Y A Cambios En La Presion De Aire,W942,"Exposicion a presion de aire alta y baja y a cambios en la presion del aire, escuelas, otras instituciones y areas administrativas publicas"
W94,Exposicion A Presion De Aire Alta Y Baja Y A Cambios En La Presion De Aire,W943,"Exposicion a presion de aire alta y baja y a cambios en la presion del aire, areas de deporte y atletismo"
W94,Exposicion A Presion De Aire Alta Y Baja Y A Cambios En La Presion De Aire,W944,"Exposicion a presion de aire alta y baja y a cambios en la presion del aire, calles y carreteras"
W94,Exposicion A Presion De Aire Alta Y Baja Y A Cambios En La Presion De Aire,W945,"Exposicion a presion de aire alta y baja y a cambios en la presion del aire, comercio y area de servicios"
W94,Exposicion A Presion De Aire Alta Y Baja Y A Cambios En La Presion De Aire,W946,"Exposicion a presion de aire alta y baja y a cambios en la presion del aire, area industrial y de la construccion"
W94,Exposicion A Presion De Aire Alta Y Baja Y A Cambios En La Presion De Aire,W947,"Exposicion a presion de aire alta y baja y a cambios en la presion del aire, granja"
W94,Exposicion A Presion De Aire Alta Y Baja Y A Cambios En La Presion De Aire,W948,"Exposicion a presion de aire alta y baja y a cambios en la presion del aire, otro lugar especificado"
W94,Exposicion A Presion De Aire Alta Y Baja Y A Cambios En La Presion De Aire,W949,"Exposicion a presion de aire alta y baja y a cambios en la presion del aire, lugar no especificado"
W99,"Exposicion A Otros Factores Ambientales Y A Los No Especificados, De Origen Artificial",W990,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial, vivienda"
W99,"Exposicion A Otros Factores Ambientales Y A Los No Especificados, De Origen Artificial",W991,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial, institucion residencial"
W99,"Exposicion A Otros Factores Ambientales Y A Los No Especificados, De Origen Artificial",W992,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial, escuelas, otras instituciones y areas administrativas publicas"
W99,"Exposicion A Otros Factores Ambientales Y A Los No Especificados, De Origen Artificial",W993,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial, areas de deporte y atletismo"
W99,"Exposicion A Otros Factores Ambientales Y A Los No Especificados, De Origen Artificial",W994,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial, calles y carreteras"
W99,"Exposicion A Otros Factores Ambientales Y A Los No Especificados, De Origen Artificial",W995,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial, comercio y area de servicios"
W99,"Exposicion A Otros Factores Ambientales Y A Los No Especificados, De Origen Artificial",W996,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial, area industrial y de la construccion"
W99,"Exposicion A Otros Factores Ambientales Y A Los No Especificados, De Origen Artificial",W997,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial, granja"
W99,"Exposicion A Otros Factores Ambientales Y A Los No Especificados, De Origen Artificial",W998,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial, otro lugar especificado"
W99,"Exposicion A Otros Factores Ambientales Y A Los No Especificados, De Origen Artificial",W999,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial, lugar no especificado"
X00,Exposicion A Fuego No Controlado En Edificio U Otra Construccion,X000,"Exposicion a fuego no controlado en edificio u otra construccion, vivienda"
X00,Exposicion A Fuego No Controlado En Edificio U Otra Construccion,X001,"Exposicion a fuego no controlado en edificio u otra construccion, institucion residencial"
X00,Exposicion A Fuego No Controlado En Edificio U Otra Construccion,X002,"Exposicion a fuego no controlado en edificio u otra construccion, escuelas, otras instituciones y areas administrativas  publicas"
X00,Exposicion A Fuego No Controlado En Edificio U Otra Construccion,X003,"Exposicion a fuego no controlado en edificio u otra construccion, areas de deporte y atletismo"
X00,Exposicion A Fuego No Controlado En Edificio U Otra Construccion,X004,"Exposicion a fuego no controlado en edificio u otra construccion, calles y carreteras"
X00,Exposicion A Fuego No Controlado En Edificio U Otra Construccion,X005,"Exposicion a fuego no controlado en edificio u otra construccion, comercio y area de servicios"
X00,Exposicion A Fuego No Controlado En Edificio U Otra Construccion,X006,"Exposicion a fuego no controlado en edificio u otra construccion, area industrial y de la construccion"
X00,Exposicion A Fuego No Controlado En Edificio U Otra Construccion,X007,"Exposicion a fuego no controlado en edificio u otra construccion, granja"
X00,Exposicion A Fuego No Controlado En Edificio U Otra Construccion,X008,"Exposicion a fuego no controlado en edificio u otra construccion, otro lugar especificado"
X00,Exposicion A Fuego No Controlado En Edificio U Otra Construccion,X009,"Exposicion a fuego no controlado en edificio u otra construccion, lugar no especificado"
X01,Exposicion A Fuego No Controlado En Lugar Que No Es Edificio U Otra Construccion,X010,"Exposicion a fuego no controlado en lugar que no es edificio u otra construccion, vivienda"
X01,Exposicion A Fuego No Controlado En Lugar Que No Es Edificio U Otra Construccion,X011,"Exposicion a fuego no controlado en lugar que no es edificio u otra construccion, institucion residencial"
X01,Exposicion A Fuego No Controlado En Lugar Que No Es Edificio U Otra Construccion,X012,"Exposicion a fuego no controlado en lugar que no es edificio u otra construccion, escuelas, otras instituciones y areas administrativas  publicas"
X01,Exposicion A Fuego No Controlado En Lugar Que No Es Edificio U Otra Construccion,X013,"Exposicion a fuego no controlado en lugar que no es edificio u otra construccion, areas de deporte y atletismo"
X01,Exposicion A Fuego No Controlado En Lugar Que No Es Edificio U Otra Construccion,X014,"Exposicion a fuego no controlado en lugar que no es edificio u otra construccion, calles y carreteras"
X01,Exposicion A Fuego No Controlado En Lugar Que No Es Edificio U Otra Construccion,X015,"Exposicion a fuego no controlado en lugar que no es edificio u otra construccion, comercio y area de servicios"
X01,Exposicion A Fuego No Controlado En Lugar Que No Es Edificio U Otra Construccion,X016,"Exposicion a fuego no controlado en lugar que no es edificio u otra construccion, area industrial y de la construccion"
X01,Exposicion A Fuego No Controlado En Lugar Que No Es Edificio U Otra Construccion,X017,"Exposicion a fuego no controlado en lugar que no es edificio u otra construccion, granja"
X01,Exposicion A Fuego No Controlado En Lugar Que No Es Edificio U Otra Construccion,X018,"Exposicion a fuego no controlado en lugar que no es edificio u otra construccion, otro lugar especificado"
X01,Exposicion A Fuego No Controlado En Lugar Que No Es Edificio U Otra Construccion,X019,"Exposicion a fuego no controlado en lugar que no es edificio u otra construccion, lugar no especificado"
X02,Exposicion A Fuego Controlado En Edificio U Otra Construccion,X020,"Exposicion a fuego controlado en edificio u otra construccion, vivienda"
X02,Exposicion A Fuego Controlado En Edificio U Otra Construccion,X021,"Exposicion a fuego controlado en edificio u otra construccion, institucion residencial"
X02,Exposicion A Fuego Controlado En Edificio U Otra Construccion,X022,"Exposicion a fuego controlado en edificio u otra construccion, escuelas, otras instituciones y areas administrativas  publicas"
X02,Exposicion A Fuego Controlado En Edificio U Otra Construccion,X023,"Exposicion a fuego controlado en edificio u otra construccion, areas de deporte y atletismo"
X02,Exposicion A Fuego Controlado En Edificio U Otra Construccion,X024,"Exposicion a fuego controlado en edificio u otra construccion, calles y carreteras"
X02,Exposicion A Fuego Controlado En Edificio U Otra Construccion,X025,"Exposicion a fuego controlado en edificio u otra construccion, comercio y area de servicios"
X02,Exposicion A Fuego Controlado En Edificio U Otra Construccion,X026,"Exposicion a fuego controlado en edificio u otra construccion, area industrial y de la construccion"
X02,Exposicion A Fuego Controlado En Edificio U Otra Construccion,X027,"Exposicion a fuego controlado en edificio u otra construccion, granja"
X02,Exposicion A Fuego Controlado En Edificio U Otra Construccion,X028,"Exposicion a fuego controlado en edificio u otra construccion, otro lugar especificado"
X02,Exposicion A Fuego Controlado En Edificio U Otra Construccion,X029,"Exposicion a fuego controlado en edificio u otra construccion, lugar no especificado"
X03,Exposicion A Fuego Controlado En Lugar Que No Es Edificio U Otra Construccion,X030,"Exposicion a fuego controlado en lugar que no es edificio u otra construccion, vivienda"
X03,Exposicion A Fuego Controlado En Lugar Que No Es Edificio U Otra Construccion,X031,"Exposicion a fuego controlado en lugar que no es edificio u otra construccion, institucion residencial"
X03,Exposicion A Fuego Controlado En Lugar Que No Es Edificio U Otra Construccion,X032,"Exposicion a fuego controlado en lugar que no es edificio u otra construccion, escuelas, otras instituciones y areas administrativas  publicas"
X03,Exposicion A Fuego Controlado En Lugar Que No Es Edificio U Otra Construccion,X033,"Exposicion a fuego controlado en lugar que no es edificio u otra construccion, areas de deporte y atletismo"
X03,Exposicion A Fuego Controlado En Lugar Que No Es Edificio U Otra Construccion,X034,"Exposicion a fuego controlado en lugar que no es edificio u otra construccion, calles y carreteras"
X03,Exposicion A Fuego Controlado En Lugar Que No Es Edificio U Otra Construccion,X035,"Exposicion a fuego controlado en lugar que no es edificio u otra construccion, comercio y area de servicios"
X03,Exposicion A Fuego Controlado En Lugar Que No Es Edificio U Otra Construccion,X036,"Exposicion a fuego controlado en lugar que no es edificio u otra construccion, area industrial y de la construccion"
X03,Exposicion A Fuego Controlado En Lugar Que No Es Edificio U Otra Construccion,X037,"Exposicion a fuego controlado en lugar que no es edificio u otra construccion, granja"
X03,Exposicion A Fuego Controlado En Lugar Que No Es Edificio U Otra Construccion,X038,"Exposicion a fuego controlado en lugar que no es edificio u otra construccion, otro lugar especificado"
X03,Exposicion A Fuego Controlado En Lugar Que No Es Edificio U Otra Construccion,X039,"Exposicion a fuego controlado en lugar que no es edificio u otra construccion, lugar no especificado"
X04,Exposicion A Ignicion De Material Altamente Inflamable,X040,"Exposicion a ignicion de material altamente inflamable, vivienda"
X04,Exposicion A Ignicion De Material Altamente Inflamable,X041,"Exposicion a ignicion de material altamente inflamable, institucion residencial"
X04,Exposicion A Ignicion De Material Altamente Inflamable,X042,"Exposicion a ignicion de material altamente inflamable, escuelas, otras instituciones y areas administrativas  publicas"
X04,Exposicion A Ignicion De Material Altamente Inflamable,X043,"Exposicion a ignicion de material altamente inflamable, areas de deporte y atletismo"
X04,Exposicion A Ignicion De Material Altamente Inflamable,X044,"Exposicion a ignicion de material altamente inflamable, calles y carreteras"
X04,Exposicion A Ignicion De Material Altamente Inflamable,X045,"Exposicion a ignicion de material altamente inflamable, comercio y area de servicios"
X04,Exposicion A Ignicion De Material Altamente Inflamable,X046,"Exposicion a ignicion de material altamente inflamable, area industrial y de la construccion"
X04,Exposicion A Ignicion De Material Altamente Inflamable,X047,"Exposicion a ignicion de material altamente inflamable, granja"
X04,Exposicion A Ignicion De Material Altamente Inflamable,X048,"Exposicion a ignicion de material altamente inflamable, otro lugar especificado"
X04,Exposicion A Ignicion De Material Altamente Inflamable,X049,"Exposicion a ignicion de material altamente inflamable, lugar no especificado"
X05,Exposicion A Ignicion O Fusion De Ropas De Dormir,X050,"Exposicion a ignicion o fusion de ropas de dormir, vivienda"
X05,Exposicion A Ignicion O Fusion De Ropas De Dormir,X051,"Exposicion a ignicion o fusion de ropas de dormir, institucion residencial"
X05,Exposicion A Ignicion O Fusion De Ropas De Dormir,X052,"Exposicion a ignicion o fusion de ropas de dormir, escuelas, otras instituciones y areas administrativas  publicas"
X05,Exposicion A Ignicion O Fusion De Ropas De Dormir,X053,"Exposicion a ignicion o fusion de ropas de dormir, areas de deporte y atletismo"
X05,Exposicion A Ignicion O Fusion De Ropas De Dormir,X054,"Exposicion a ignicion o fusion de ropas de dormir, calles y carreteras"
X05,Exposicion A Ignicion O Fusion De Ropas De Dormir,X055,"Exposicion a ignicion o fusion de ropas de dormir, comercio y area de servicios"
X05,Exposicion A Ignicion O Fusion De Ropas De Dormir,X056,"Exposicion a ignicion o fusion de ropas de dormir, area industrial y de la construccion"
X05,Exposicion A Ignicion O Fusion De Ropas De Dormir,X057,"Exposicion a ignicion o fusion de ropas de dormir, granja"
X05,Exposicion A Ignicion O Fusion De Ropas De Dormir,X058,"Exposicion a ignicion o fusion de ropas de dormir, otro lugar especificado"
X05,Exposicion A Ignicion O Fusion De Ropas De Dormir,X059,"Exposicion a ignicion o fusion de ropas de dormir, lugar no especificado"
X06,Exposicion A Ignicion O Fusion De Otras Ropas Y Accesorios,X060,"Exposicion a ignicion o fusion de otras ropas y accesorios, vivienda"
X06,Exposicion A Ignicion O Fusion De Otras Ropas Y Accesorios,X061,"Exposicion a ignicion o fusion de otras ropas y accesorios, institucion residencial"
X06,Exposicion A Ignicion O Fusion De Otras Ropas Y Accesorios,X062,"Exposicion a ignicion o fusion de otras ropas y accesorios, escuelas, otras instituciones y areas administrativas  publicas"
X06,Exposicion A Ignicion O Fusion De Otras Ropas Y Accesorios,X063,"Exposicion a ignicion o fusion de otras ropas y accesorios, areas de deporte y atletismo"
X06,Exposicion A Ignicion O Fusion De Otras Ropas Y Accesorios,X064,"Exposicion a ignicion o fusion de otras ropas y accesorios, calles y carreteras"
X06,Exposicion A Ignicion O Fusion De Otras Ropas Y Accesorios,X065,"Exposicion a ignicion o fusion de otras ropas y accesorios, comercio y area de servicios"
X06,Exposicion A Ignicion O Fusion De Otras Ropas Y Accesorios,X066,"Exposicion a ignicion o fusion de otras ropas y accesorios, area industrial y de la construccion"
X06,Exposicion A Ignicion O Fusion De Otras Ropas Y Accesorios,X067,"Exposicion a ignicion o fusion de otras ropas y accesorios, granja"
X06,Exposicion A Ignicion O Fusion De Otras Ropas Y Accesorios,X068,"Exposicion a ignicion o fusion de otras ropas y accesorios, otro lugar especificado"
X06,Exposicion A Ignicion O Fusion De Otras Ropas Y Accesorios,X069,"Exposicion a ignicion o fusion de otras ropas y accesorios, lugar no especificado"
X08,"Exposicion A Otros Humos, Fuegos O Llamas Especificados",X080,"Exposicion a otros humos, fuegos o llamas especificados, vivienda"
X08,"Exposicion A Otros Humos, Fuegos O Llamas Especificados",X081,"Exposicion a otros humos, fuegos o llamas especificados, institucion residencial"
X08,"Exposicion A Otros Humos, Fuegos O Llamas Especificados",X082,"Exposicion a otros humos, fuegos o llamas especificados, escuelas, otras instituciones y areas administrativas  publicas"
X08,"Exposicion A Otros Humos, Fuegos O Llamas Especificados",X083,"Exposicion a otros humos, fuegos o llamas especificados, areas de deporte y atletismo"
X08,"Exposicion A Otros Humos, Fuegos O Llamas Especificados",X084,"Exposicion a otros humos, fuegos o llamas especificados, calles y carreteras"
X08,"Exposicion A Otros Humos, Fuegos O Llamas Especificados",X085,"Exposicion a otros humos, fuegos o llamas especificados, comercio y area de servicios"
X08,"Exposicion A Otros Humos, Fuegos O Llamas Especificados",X086,"Exposicion a otros humos, fuegos o llamas especificados, area industrial y de la construccion"
X08,"Exposicion A Otros Humos, Fuegos O Llamas Especificados",X087,"Exposicion a otros humos, fuegos o llamas especificados, granja"
X08,"Exposicion A Otros Humos, Fuegos O Llamas Especificados",X088,"Exposicion a otros humos, fuegos o llamas especificados, otro lugar especificado"
X08,"Exposicion A Otros Humos, Fuegos O Llamas Especificados",X089,"Exposicion a otros humos, fuegos o llamas especificados, lugar no especificado"
X09,Exposicion A Humos Fuegos Llamas No Especificados,X090,"Exposicion a humos, fuegos o llamas no especificados, vivienda"
